Store_Number,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price, CPI ,Unemployment
1,2/5/2010,1643691,0,42.31,2.572,211,8.106
1,2/12/2010,1641957,1,38.51,2.548,211,8.106
1,2/19/2010,1611968,0,39.93,2.514,211,8.106
1,2/26/2010,1409728,0,46.63,2.561,211,8.106
1,3/5/2010,1554807,0,46.5,2.625,211,8.106
1,3/12/2010,1439542,0,57.79,2.667,211,8.106
1,3/19/2010,1472516,0,54.58,2.72,211,8.106
1,3/26/2010,1404430,0,51.45,2.732,211,8.106
1,4/2/2010,1594968,0,62.27,2.719,211,7.808
1,4/9/2010,1545419,0,65.86,2.77,211,7.808
1,4/16/2010,1466058,0,66.32,2.808,210,7.808
1,4/23/2010,1391256,0,64.84,2.795,210,7.808
1,4/30/2010,1425101,0,67.41,2.78,210,7.808
1,5/7/2010,1603955,0,72.55,2.835,210,7.808
1,5/14/2010,1494252,0,74.78,2.854,210,7.808
1,5/21/2010,1399662,0,76.44,2.826,211,7.808
1,5/28/2010,1432070,0,80.44,2.759,211,7.808
1,6/4/2010,1615525,0,80.69,2.705,211,7.808
1,6/11/2010,1542561,0,80.43,2.668,211,7.808
1,6/18/2010,1503284,0,84.11,2.637,211,7.808
1,6/25/2010,1422712,0,84.34,2.653,211,7.808
1,7/2/2010,1492418,0,80.91,2.669,211,7.787
1,7/9/2010,1546074,0,80.48,2.642,211,7.787
1,7/16/2010,1448939,0,83.15,2.623,211,7.787
1,7/23/2010,1385065,0,83.36,2.608,211,7.787
1,7/30/2010,1371987,0,81.84,2.64,211,7.787
1,8/6/2010,1605492,0,87.16,2.627,212,7.787
1,8/13/2010,1508238,0,87,2.692,212,7.787
1,8/20/2010,1513080,0,86.65,2.664,212,7.787
1,8/27/2010,1449143,0,85.22,2.619,212,7.787
1,9/3/2010,1540164,0,81.21,2.577,212,7.787
1,9/10/2010,1507461,1,78.69,2.565,211,7.787
1,9/17/2010,1430379,0,82.11,2.582,212,7.787
1,9/24/2010,1351791,0,80.94,2.624,212,7.787
1,10/1/2010,1453330,0,71.89,2.603,212,7.838
1,10/8/2010,1508240,0,63.93,2.633,212,7.838
1,10/15/2010,1459409,0,67.18,2.72,212,7.838
1,10/22/2010,1345454,0,69.86,2.725,212,7.838
1,10/29/2010,1384209,0,69.64,2.716,212,7.838
1,11/5/2010,1551659,0,58.74,2.689,212,7.838
1,11/12/2010,1494479,0,59.61,2.728,212,7.838
1,11/19/2010,1483784,0,51.41,2.771,212,7.838
1,11/26/2010,1955624,1,64.52,2.735,212,7.838
1,12/3/2010,1548034,0,49.27,2.708,212,7.838
1,12/10/2010,1682614,0,46.33,2.843,211,7.838
1,12/17/2010,1891035,0,49.84,2.869,211,7.838
1,12/24/2010,2387950,0,52.33,2.886,211,7.838
1,12/31/2010,1367320,1,48.43,2.943,211,7.838
1,1/7/2011,1444732,0,48.27,2.976,211,7.742
1,1/14/2011,1391014,0,35.4,2.983,211,7.742
1,1/21/2011,1327405,0,44.04,3.016,212,7.742
1,1/28/2011,1316899,0,43.83,3.01,212,7.742
1,2/4/2011,1606630,0,42.27,2.989,213,7.742
1,2/11/2011,1649615,1,36.39,3.022,213,7.742
1,2/18/2011,1686843,0,57.36,3.045,213,7.742
1,2/25/2011,1456800,0,62.9,3.065,214,7.742
1,3/4/2011,1636263,0,59.58,3.288,214,7.742
1,3/11/2011,1553192,0,53.56,3.459,214,7.742
1,3/18/2011,1576818,0,62.76,3.488,214,7.742
1,3/25/2011,1541102,0,69.97,3.473,215,7.742
1,4/1/2011,1495065,0,59.17,3.524,215,7.682
1,4/8/2011,1614259,0,67.84,3.622,215,7.682
1,4/15/2011,1559889,0,71.27,3.743,215,7.682
1,4/22/2011,1564820,0,72.99,3.807,215,7.682
1,4/29/2011,1455091,0,72.03,3.81,216,7.682
1,5/6/2011,1629391,0,64.61,3.906,216,7.682
1,5/13/2011,1604776,0,75.64,3.899,216,7.682
1,5/20/2011,1428218,0,67.63,3.907,216,7.682
1,5/27/2011,1466047,0,77.72,3.786,216,7.682
1,6/3/2011,1635078,0,83,3.699,215,7.682
1,6/10/2011,1588948,0,83.13,3.648,215,7.682
1,6/17/2011,1532115,0,86.41,3.637,215,7.682
1,6/24/2011,1438830,0,83.58,3.594,215,7.682
1,7/1/2011,1488538,0,85.55,3.524,215,7.962
1,7/8/2011,1534850,0,85.83,3.48,215,7.962
1,7/15/2011,1455120,0,88.54,3.575,215,7.962
1,7/22/2011,1396927,0,85.77,3.651,215,7.962
1,7/29/2011,1352220,0,86.83,3.682,215,7.962
1,8/5/2011,1624384,0,91.65,3.684,216,7.962
1,8/12/2011,1525147,0,90.76,3.638,216,7.962
1,8/19/2011,1530761,0,89.94,3.554,216,7.962
1,8/26/2011,1464693,0,87.96,3.523,216,7.962
1,9/2/2011,1550229,0,87.83,3.533,216,7.962
1,9/9/2011,1540471,1,76,3.546,216,7.962
1,9/16/2011,1514260,0,79.94,3.526,216,7.962
1,9/23/2011,1380020,0,75.8,3.467,216,7.962
1,9/30/2011,1394562,0,79.69,3.355,217,7.962
1,10/7/2011,1630990,0,69.31,3.285,217,7.866
1,10/14/2011,1493526,0,71.74,3.274,217,7.866
1,10/21/2011,1502563,0,63.71,3.353,218,7.866
1,10/28/2011,1445249,0,66.57,3.372,218,7.866
1,11/4/2011,1697230,0,54.98,3.332,218,7.866
1,11/11/2011,1594939,0,59.11,3.297,218,7.866
1,11/18/2011,1539484,0,62.25,3.308,218,7.866
1,11/25/2011,2033321,1,60.14,3.236,218,7.866
1,12/2/2011,1584084,0,48.91,3.172,219,7.866
1,12/9/2011,1799682,0,43.93,3.158,219,7.866
1,12/16/2011,1881177,0,51.63,3.159,219,7.866
